epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,137.919,0.66657,0.49255,1.11451,0.95739,1,0.99389,0.81398,0.82081,0.50616,1.13761,0.000308648,0.000308648,0.000308648
84,139.491,0.61285,0.50911,1.17576,0.95729,1,0.99389,0.80436,0.85273,0.50993,1.14011,0.000295978,0.000295978,0.000295978
85,141.046,0.60572,0.4702,1.0821,0.95729,1,0.99389,0.80436,0.85273,0.50993,1.14011,0.000282912,0.000282912,0.000282912
86,142.551,0.53567,0.45665,1.13967,0.95729,1,0.99389,0.80436,0.85273,0.50993,1.14011,0.00026945,0.00026945,0.00026945
87,144.087,0.59654,0.49428,1.17437,0.95729,1,0.99389,0.80436,0.85273,0.50993,1.14011,0.000255592,0.000255592,0.000255592
88,145.767,0.61403,0.46992,1.08731,0.95707,1,0.99389,0.80166,0.86597,0.509,1.14179,0.000241338,0.000241338,0.000241338
89,147.353,0.66532,0.48346,1.08881,0.95707,1,0.99389,0.80166,0.86597,0.509,1.14179,0.000226688,0.000226688,0.000226688
90,148.898,0.60159,0.45922,1.08804,0.95707,1,0.99389,0.80166,0.86597,0.509,1.14179,0.000211642,0.000211642,0.000211642
91,150.419,0.5405,0.46467,1.06892,0.95707,1,0.99389,0.80166,0.86597,0.509,1.14179,0.0001962,0.0001962,0.0001962
92,152.1,0.50952,0.45694,1.05825,0.95695,1,0.99389,0.81451,0.84197,0.49938,1.1373,0.000180362,0.000180362,0.000180362
93,153.75,0.55291,0.48183,1.10305,0.95695,1,0.99389,0.81451,0.84197,0.49938,1.1373,0.000164128,0.000164128,0.000164128
94,155.275,0.53955,0.47873,1.135,0.95695,1,0.99389,0.81451,0.84197,0.49938,1.1373,0.000147498,0.000147498,0.000147498
95,156.675,0.51833,0.44556,1.08811,0.95695,1,0.99389,0.81451,0.84197,0.49938,1.1373,0.000130472,0.000130472,0.000130472
96,158.298,0.47517,0.4307,1.08622,0.95672,1,0.99389,0.82463,0.81243,0.49114,1.13445,0.00011305,0.00011305,0.00011305
97,159.804,0.51787,0.44493,1.13294,0.95672,1,0.99389,0.82463,0.81243,0.49114,1.13445,9.5232e-05,9.5232e-05,9.5232e-05
98,161.208,0.52864,0.45492,1.04225,0.95672,1,0.99389,0.82463,0.81243,0.49114,1.13445,7.7018e-05,7.7018e-05,7.7018e-05
99,162.679,0.51847,0.43564,1.0744,0.95672,1,0.99389,0.82463,0.81243,0.49114,1.13445,5.8408e-05,5.8408e-05,5.8408e-05
100,164.137,0.50401,0.4437,1.1228,0.95577,1,0.99389,0.8238,0.78932,0.48673,1.1326,3.9402e-05,3.9402e-05,3.9402e-05
